iter	RMSE
0	0.4917793964
1	0.4760129001
2	0.4598352679
3	0.4451915137
4	0.4304472489
5	0.4179489316
6	0.4053608168
7	0.3944223074
8	0.3842731653
9	0.3738233231
10	0.3645026112
11	0.3563304223
12	0.3481473991
13	0.3393098251
14	0.3316788515
15	0.3253994182
16	0.3182603092
17	0.3116376646
18	0.3053162322
19	0.3001014992
20	0.2947431442
21	0.290276303
22	0.2860033098
23	0.282364068
24	0.2785992076
25	0.2749472831
26	0.2711466082
27	0.2684011345
28	0.2652785655
29	0.2620732739
30	0.2591029416
31	0.2567792923
32	0.2541209511
33	0.2523085948
34	0.2501335747
35	0.2478185442
36	0.2458165642
37	0.2442854968
38	0.2429158002
39	0.2411842043
40	0.2399397362
41	0.2383883879
42	0.2371918974
43	0.2359897617
44	0.234504389
45	0.2333682417
46	0.2323318229
47	0.2313024901
48	0.2302138729
49	0.2293412711
50	0.2283668523
51	0.2277283072
52	0.2269130963
53	0.2262056675
54	0.2253171486
55	0.2245018339
56	0.2239648079
57	0.2234028789
58	0.2228010147
59	0.2218163517
60	0.2213884778
61	0.2209890246
62	0.2203345452
63	0.219629408
64	0.2190878047
65	0.2186743783
66	0.2180820269
67	0.2175653542
68	0.2170243686
69	0.2163580729
70	0.2159791278
71	0.2152921644
72	0.2149012685
73	0.2143701727
74	0.2139833172
75	0.2134303011
76	0.2131254558
77	0.2128131116
78	0.2121489678
79	0.2116944977
80	0.2112241893
81	0.2106928806
82	0.2102972509
83	0.2098116976
84	0.2094949743
85	0.2092421188
86	0.2088349216
87	0.2085941552
88	0.2081887336
89	0.2078086765
90	0.207490116
91	0.2073385527
92	0.2070050589
93	0.2067959743
94	0.2064318617
95	0.2061862601
96	0.2059206267
97	0.205537308
98	0.2052830537
99	0.2050503386
100	0.2049041906
101	0.2045420633
102	0.2042907942
103	0.2039708191
104	0.2038648214
105	0.2036857416
106	0.203412045
107	0.2031063963
108	0.2028172572
109	0.2026049457
110	0.2023660927
111	0.202188191
112	0.2019303929
113	0.2016943752
114	0.201512544
115	0.2013869735
116	0.2012135681
117	0.2008485218
118	0.2006357901
119	0.2005027181
120	0.2003013278
121	0.2001781713
122	0.2001402101
123	0.1999830517
124	0.1996791671
125	0.1993991671
126	0.1992341341
127	0.1991028981
128	0.1989475706
129	0.1987810882
130	0.1985991927
131	0.1983162979
132	0.1980248775
133	0.197844009
134	0.1976645455
135	0.1975768234
136	0.1972481582
137	0.1971244225
138	0.1970820762
139	0.1969405527
140	0.1967958958
141	0.1965666298
142	0.1964003447
143	0.1962201595
144	0.1960720849
145	0.1959711851
146	0.1959624865
147	0.1958565924
148	0.1956002945
149	0.1954386021
