iter	Passed	Remaining
0	0	167
1	1	155
2	2	140
3	2	128
4	3	122
5	3	118
6	4	113
7	4	111
8	5	109
9	5	107
10	6	108
11	6	107
12	7	106
13	7	104
14	8	104
15	9	106
16	9	104
17	10	103
18	10	101
19	11	100
20	11	98
21	12	97
22	12	96
23	13	96
24	13	95
25	14	94
26	14	93
27	15	92
28	16	95
29	16	94
30	17	93
31	18	96
32	18	95
33	19	94
34	19	93
35	20	92
36	20	91
37	21	91
38	21	90
39	22	89
40	23	89
41	23	88
42	23	87
43	24	86
44	24	85
45	25	84
46	25	84
47	26	83
48	26	82
49	27	81
50	28	81
51	28	81
52	29	80
53	29	80
54	30	79
55	30	79
56	31	78
57	31	77
58	32	77
59	32	76
60	33	75
61	33	75
62	34	74
63	34	73
64	35	73
65	35	72
66	36	72
67	36	71
68	37	70
69	37	70
70	38	69
71	39	69
72	39	68
73	40	68
74	40	68
75	41	68
76	42	67
77	42	66
78	43	66
79	43	65
80	44	64
81	44	64
82	45	63
83	46	63
84	46	63
85	47	62
86	47	61
87	48	61
88	48	60
89	49	60
90	49	59
91	50	59
92	50	58
93	51	57
94	51	57
95	52	56
96	52	56
97	53	55
98	54	55
99	54	54
100	55	54
101	55	53
102	56	52
103	56	52
104	57	51
105	57	50
106	57	50
107	58	50
108	59	49
109	60	49
110	60	48
111	61	48
112	61	47
113	62	46
114	62	46
115	62	45
116	63	45
117	63	44
118	64	43
119	65	43
120	65	42
121	66	42
122	66	41
123	67	41
124	67	40
125	68	39
126	68	39
127	68	38
128	69	38
129	70	37
130	70	37
131	71	36
132	71	36
133	72	35
134	73	35
135	73	34
136	74	34
137	74	33
138	75	33
139	75	32
140	76	32
141	76	31
142	77	30
143	77	30
144	78	29
145	78	29
146	79	28
147	79	28
148	80	27
149	80	26
150	81	26
151	81	25
152	82	25
153	82	24
154	83	24
155	83	23
156	83	22
157	84	22
158	84	21
159	85	21
160	85	20
161	86	20
162	86	19
163	87	19
164	87	18
165	88	18
166	88	17
167	89	17
168	90	16
169	90	16
170	91	15
171	91	14
172	92	14
173	92	13
174	93	13
175	93	12
176	93	12
177	94	11
178	94	11
179	95	10
180	95	10
181	96	9
182	96	9
183	97	8
184	97	7
185	98	7
186	98	6
187	99	6
188	99	5
189	100	5
190	100	4
191	101	4
192	101	3
193	102	3
194	103	2
195	103	2
196	104	1
197	104	1
198	105	0
199	105	0
