Duration_minutes,stops_num,Dep_Hour,Arrival_Hour,Journey_Day,Journey_Month,Price,Price_capped,log_Price,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
170,0.0,22,1,24,3,3897,3897,8.268218880067506,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
445,2.0,5,13,1,5,7662,7662,8.944158830970403,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1140,2.0,9,4,9,6,13882,13882,9.538420349034803,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
325,1.0,18,23,12,5,6218,6218,8.735364401103888,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
285,1.0,16,21,1,3,13302,13302,9.495744852683906,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145,0.0,9,11,24,6,3873,3873,8.262042843966942,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
930,1.0,18,10,12,3,11087,11087,9.313618721429684,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1265,1.0,8,5,1,3,22270,22270,10.01104066270085,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1530,1.0,8,10,12,3,11087,11087,9.313618721429684,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
470,1.0,11,19,27,5,8625,8625,9.062536177207788,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
795,1.0,9,23,1,6,8907,8907,9.094705028377259,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
155,0.0,20,22,18,4,4174,4174,8.336869637284956,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135,0.0,11,13,24,6,4667,4667,8.448485993406447,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
730,1.0,21,9,9,5,9663,9663,9.176162920174596,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
155,0.0,17,19,24,4,4804,4804,8.477412321404392,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1595,2.0,16,19,3,3,14011,14011,9.547669384317377,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
270,1.0,8,13,15,4,5830,5830,8.670943791222156,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1355,1.0,14,12,12,6,10262,10262,9.236300473645715,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1380,2.0,20,19,12,6,13381,13381,9.501665799342762,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1235,1.0,16,12,27,5,12898,12898,9.464905067965136,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
310,1.0,14,19,6,3,19495,19495,9.877964595305043,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
920,1.0,22,13,21,3,6955,6955,8.847359875474174,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
170,0.0,4,6,3,4,3943,3943,8.279950715722526,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
175,0.0,18,21,1,5,4823,4823,8.481358738407021,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
800,1.0,18,8,6,5,7757,7757,8.956479847999912,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
910,2.0,21,12,9,6,13292,13292,9.4949928598676,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
345,1.0,21,3,1,6,8238,8238,9.01663425631559,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
355,1.0,7,12,15,5,7682,7682,8.946765374867635,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0.0,9,12,18,6,4668,4668,8.448700194970938,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
135,0.0,7,9,15,6,3687,3687,8.212839584676484,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
135,0.0,7,9,18,6,3687,3687,8.212839584676484,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
805,2.0,9,23,1,5,13227,13227,9.490091074101683,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0.0,4,6,6,4,4423,4423,8.39479954320217,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1320,2.0,14,12,15,6,10919,10919,9.298351249298896,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
330,1.0,7,12,18,5,12373,12373,9.423352776090933,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
625,1.0,10,21,27,6,5894,5894,8.68185981297147,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
315,1.0,15,20,21,5,4649,4649,8.444622498581403,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
150,0.0,14,16,18,5,6245,6245,8.739696537843024,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
375,1.0,7,13,6,3,19225,19225,9.864018808625762,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
715,1.0,7,19,3,6,14924,14924,9.610792938260802,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
665,1.0,7,18,21,5,9646,9646,9.174402265170553,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
510,1.0,6,15,15,3,8714,8714,9.07280095795412,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1325,1.0,20,19,18,5,12373,12373,9.423352776090933,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0.0,11,13,6,5,3383,3383,8.126813720726114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
720,1.0,9,21,21,3,13062,13062,9.477539085486564,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0.0,5,8,24,3,3527,3527,8.168486417126681,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
170,0.0,4,6,27,5,3943,3943,8.279950715722526,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,0.0,11,13,3,5,4667,4667,8.448485993406447,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
965,1.0,19,11,15,5,6117,6117,8.718990524710849,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1195,2.0,23,19,27,6,11150,11150,9.319284458965361,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
195,0.0,11,14,9,3,7202,7202,8.882252884889363,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1520,1.0,9,10,1,5,12121,12121,9.402777262511231,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0.0,22,1,24,3,4377,4377,8.384347278082808,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
180,0.0,21,0,18,6,3943,3943,8.279950715722526,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
170,0.0,23,2,3,4,4483,4483,8.40827078419205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
975,1.0,19,12,24,3,14231,14231,9.563248229345671,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
905,2.0,8,23,1,3,17345,17345,9.7611172112444,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
135,0.0,7,9,6,3,7414,7414,8.911260254572033,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
390,1.0,19,1,6,5,8073,8073,8.996404301412886,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1505,1.0,15,16,6,3,12395,12395,9.42512911890764,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
745,1.0,9,21,6,6,8366,8366,9.032050676295599,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1640,1.0,6,9,3,4,5117,5117,8.540519016719735,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
615,1.0,8,19,3,6,12524,12524,9.435481925953065,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
630,1.0,15,1,15,5,7191,7191,8.880724576151456,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0.0,7,9,24,5,3687,3687,8.212839584676484,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
625,1.0,10,21,24,6,5894,5894,8.68185981297147,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0.0,9,12,24,4,5403,5403,8.59489469908009,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
90,0.0,13,15,6,5,3625,3625,8.195885391314796,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
